CD_CVM,NM_PREGAO,BTICKER,SETOR,SUBSETOR,SEGMENTO,CD_GOVERN,QTDE_ON,QTDE_PN
6815,IGB S/A,IGBR,Financeiro,Exploração de Imóveis,Exploração de Imóveis,,12504967,0
23175,IGUA SA,IGSN,Utilidade Pública,Água e Saneamento,Água e Saneamento,MA,199192402,0
20494,IGUATEMI,IGTA,Financeiro,Exploração de Imóveis,Exploração de Imóveis,NM             ,176611578,0
12319,J B DUARTE,JBDU,Outros,Outros,Outros,,1673066,3346095
7510,INDS ROMI,ROMI,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,NM             ,62857647,0
7595,INEPAR,INEP,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,,4849476,3156808
17558,SELECTPART,SLCT,Outros,Outros,Outros,MB             ,50612981,0
24090,IHPARDINI,PARD,Saúde,Análises e Diagnósticos,Análises e Diagnósticos,NM             ,130978595,0
24279,INTER SA,INNT,Consumo Cíclico,Construção Civil,Incorporações,MA,86885349,0
23574,IMC S/A,MEAL,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares,NM             ,195919530,0
6041,INVEST BEMGE,FIGE,Outros,Outros,Outros,,792124,1571812
18775,INVEPAR,IVPR,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,MB             ,143057124,286114248
11932,IOCHP-MAXION,MYPK,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,NM             ,153719601,0
2429,IRANI,RANI,Materiais Básicos,Madeira e Papel,Papel e Celulose,,153909975,12810260
24180,IRBBRASIL RE,IRBR,Financeiro,Previdência e Seguros,Seguradoras,NM             ,936000000,1
19364,ITAPEBI,ITPB,Utilidade Pública,Energia Elétrica,Energia Elétrica,,202524938,0
19348,ITAUUNIBANCO,ITUB,Financeiro,Intermediários Financeiros,Bancos,N1             ,4958290359,4845844989
7617,ITAUSA,ITSA,Financeiro,Intermediários Financeiros,Bancos,N1             ,2889837770,5520977160
21156,J.MACEDO,JMCD,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,,10674856,8692854
20575,JBS,JBSS,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,NM             ,2728747412,0
8672,JEREISSATI,JPSA,Financeiro,Exploração de Imóveis,Exploração de Imóveis,,87889174,0
20605,JHSF PART,JHSF,Consumo Cíclico,Construção Civil,Incorporações,NM             ,641241829,0
7811,JOAO FORTES,JFEN,Consumo Cíclico,Construção Civil,Incorporações,,105203815,0
13285,JOSAPAR,JOPA,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,,10450993,131368
22020,JSL,JSLG,Bens Industriais,Transporte,Transporte Rodoviário,NM             ,207692383,0
4146,KARSTEN,CTKA,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,,2878404,3326971
7870,KEPLER WEBER,KEPL,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,,26311971,0
12653,KLABIN S/A,KLBN,Materiais Básicos,Madeira e Papel,Papel e Celulose,N2,1984594655,3425207185
24872,LIFEMED,LMED,Saúde,Equipamentos,Equipamentos,MA,2576438,0
19879,LIGHT S/A,LIGT,Utilidade Pública,Energia Elétrica,Energia Elétrica,NM             ,303934060,0
8036,LIGHT,LIGH,Utilidade Pública,Energia Elétrica,Energia Elétrica,,392849277746,0
23035,LINX,LINX,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,NM             ,189408960,0
15091,LITEL,LTEL,Materiais Básicos,Mineração,Minerais Metálicos,MB             ,215495403,0
24759,LITELA,LTLA,Materiais Básicos,Mineração,Minerais Metálicos,MB             ,196713125,0
19739,LOCALIZA,RENT,Consumo Cíclico,Diversos,Aluguel de carros,NM             ,758466670,0
24910,LOCAWEB,LWSA,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,NM             ,125172486,0
23272,LOG COM PROP,LOGG,Financeiro,Exploração de Imóveis,Exploração de Imóveis,NM             ,102159154,0
20710,LOG-IN,LOGN,Bens Industriais,Transporte,Transporte Hidroviário,NM             ,105489191,0
8087,LOJAS AMERIC,LAME,Consumo Cíclico,Comércio,Produtos Diversos,N1             ,545154656,1075694696
8133,LOJAS RENNER,LREN,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",NM             ,795589562,0
17434,LONGDIS,SPRT,Outros,Outros,Outros,MB             ,4849892,0
20370,LOPES BRASIL,LPSB,Financeiro,Exploração de Imóveis,Intermediação Imobiliária,NM             ,147554631,0
20060,LUPATECH,LUPA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,NM             ,25034015,0
20338,M.DIASBRANCO,MDIA,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,NM             ,339000000,0
23612,MAESTROLOC,MSRO,Consumo Cíclico,Diversos,Aluguel de carros,M2,1733988,0
22470,MAGAZ LUIZA,MGLU,Consumo Cíclico,Comércio,Eletrodomésticos,NM             ,1624731712,0
8575,METAL LEVE,LEVE,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,NM             ,128308500,0
8397,MANGELS INDL,MGEL,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,,2067243,3715969
